jahr,weltmeisterschaft,titeltraeger
2018,Männer,Frankreich
2014,Männer,Deutschland
2010,Männer,Spanien
2006,Männer,Italien
2019,Frauen,USA
2015,Frauen,USA
2011,Frauen,Japan
2007,Frauen,Deutschland
